ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3005043	43241	6079	3786	cmlA9	cmlA9	ABZ01840.1	AY963803.6	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
ARO:3002698	39132	17	486	cmlB	cmlB	AAD22144.1	AF034958	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
ARO:3002699	39133	731	1038	cmlB1	cmlB1	CAL30186.1	AM296481	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
ARO:3002700	39134	82	703	cmlv	cmlv	AAB36568.1	U09991	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
ARO:3002702	39136	699	1744	cmrA	cmrA	AAC45805.1	AF015087	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
ARO:3002703	39137	3	1366	cmx	cmx	AAG03380.1	AF024666	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
ARO:3002012	38412	1034	20	CMY-1	CMY-1	CAA63264.1	X92508	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002021	38421	1114	812	CMY-10	CMY-10	AAK31368.1	AF357597	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002112	38512	1194	221	CMY-100	CMY-100	AHA80101.1	KF526113	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002113	38513	1281	1364	CMY-101	CMY-101	AHA80102.1	KF526114	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002114	38514	1360	1029	CMY-102	CMY-102	AHA80103.1	KF526115	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002115	38515	1441	1747	CMY-103	CMY-103	AHA80104.1	KF526116	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002116	38516	1546	658	CMY-104	CMY-104	AGR82311.1	KF150216	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002117	38517	1623	208	CMY-105	CMY-105	AHL39330.1	KJ207205	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002118	38518	5773	2082	CMY-106	CMY-106	AJH76980.1	KM983294.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002120	38520	1775	1504	CMY-108	CMY-108	AGZ20169.1	KF564648	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002022	38422	1857	1375	CMY-11	CMY-11	AAK31370.1	AF357599	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002071	38471	5299	281	CMY-110	CMY-110	BAO05497.1	AB872957.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002122	38522	1992	1638	CMY-111	CMY-111	AHW47897.1	KJ155695	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002123	38523	781	1454	CMY-112	CMY-112	AIT76090.1	KM087837	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002124	38524	863	775	CMY-113	CMY-113	AIT76089.1	KM087836	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002125	38525	943	46	CMY-114	CMY-114	AIT76099.1	KM087846	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002126	38526	1020	1268	CMY-115	CMY-115	AIT76092.1	KM087839	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002127	38527	1098	705	CMY-116	CMY-116	AIT76093.1	KM087840	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002128	38528	1178	844	CMY-117	CMY-117	AIT76097.1	KM087844	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002129	38529	1265	308	CMY-118	CMY-118	AIT76091.1	KM087838	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002130	38530	1344	1796	CMY-119	CMY-119	AIT76098.1	KM087845	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002023	38423	1421	1877	CMY-12	CMY-12	CAA76382.1	Y16785	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002024	38424	4561	525	CMY-13	CMY-13	AAQ16660.2	AY339625	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003170	39747	5774	2067	CMY-131	CMY-131	AKG51729.1	KP281294.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003652	40262	5775	3577	CMY-132	CMY-132	AKZ20822.1	KP862820.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003653	40263	5776	3578	CMY-133	CMY-133	AKZ20821.1	KP862819.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3004778	42893	5777	3579	CMY-135	CMY-135	AKP17985.1	KP981366.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3004854	42990	5922	3652	CMY-136	CMY-136	AVR61040.1	MG844436.1	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ARO:3002025	38425	1662	1089	CMY-14	CMY-14	CAD88479.1	AJ555825	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002026	38426	1737	1650	CMY-15	CMY-15	CAD88477.1	AJ555823	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3005016	43207	6050	3760	CMY-150	CMY-150	PUU64961.1	QCWX01000028.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002027	38427	1815	1535	CMY-16	CMY-16	CAH03679.1	AJ781421	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002028	38428	1895	1103	CMY-17	CMY-17	AAS13399.1	AY513266	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002029	38429	1974	1433	CMY-18	CMY-18	AAU95778.1	AY743434	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002030	38430	761	1129	CMY-19	CMY-19	BAE48233.1	AB194410	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002013	38413	821	600	CMY-2	CMY-2	CAA62957.1	X91840	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ARO:3002031	38431	903	840	CMY-20	CMY-20	AAX58682.2	AY960293	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002032	38432	957	256	CMY-21	CMY-21	AAZ66866.1	DQ139328	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002033	38433	1035	1543	CMY-22	CMY-22	ABB72431.1	DQ256079	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002034	38434	1115	972	CMY-23	CMY-23	ABF06441.1	DQ463751	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002035	38435	1195	771	CMY-24	CMY-24	ABN69070.1	EF415650	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002036	38436	1282	176	CMY-25	CMY-25	ACA30420.1	EU515249	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002037	38437	1361	1373	CMY-26	CMY-26	BAF56185.1	AB300358	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002038	38438	1442	672	CMY-27	CMY-27	ACA30421.1	EU515250	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002039	38439	1547	495	CMY-28	CMY-28	ABQ51091.1	EF561644	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002040	38440	1624	460	CMY-29	CMY-29	ABS12248.1	EF685371	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002041	38441	1700	1228	CMY-30	CMY-30	ABS12249.1	EF685372	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002042	38442	1776	1691	CMY-31	CMY-31	ABR18736.1	EF622224	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002043	38443	1858	790	CMY-32	CMY-32	ACA97846.1	EU496815	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002044	38444	1914	719	CMY-33	CMY-33	ACA97847.1	EU496816	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002045	38445	1993	1926	CMY-34	CMY-34	ABN51006.1	EF394370	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002046	38446	782	309	CMY-35	CMY-35	ABN51007.1	EF394371	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002047	38447	3695	2134	CMY-36	CMY-36	ABY58049.1	EU331426.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002048	38448	944	1489	CMY-37	CMY-37	BAF36388.1	AB280919	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002049	38449	1021	1613	CMY-38	CMY-38	CAP60699.1	AM931008	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002050	38450	1099	167	CMY-39	CMY-39	BAF95726.1	AB372224	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002015	38415	1179	271	CMY-4	CMY-4	CAA75402.1	Y15130	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002051	38451	1266	745	CMY-40	CMY-40	ACA30422.1	EU515251	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002052	38452	1345	1086	CMY-41	CMY-41	BAG14343.1	AB429270	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002053	38453	1422	62	CMY-42	CMY-42	ADM21467.1	HM146927	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ARO:3002054	38454	1508	664	CMY-43	CMY-43	ACJ05361.1	FJ360626	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002055	38455	1586	839	CMY-44	CMY-44	ACJ65711.1	FJ437066	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002056	38456	1663	1516	CMY-45	CMY-45	CBB16411.1	FN546177	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002057	38457	1738	1170	CMY-46	CMY-46	CBH19182.1	FN556186	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002058	38458	1816	1915	CMY-47	CMY-47	ADH82410.1	HM046998	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002059	38459	1896	98	CMY-48	CMY-48	ADP02979.1	HM569226	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002060	38460	1975	1501	CMY-49	CMY-49	ACV32310.1	GQ402541	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002016	38416	5257	2065	CMY-5	CMY-5	CAB50867.1	Y17716.1	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002061	38461	822	911	CMY-50	CMY-50	CBI75447.1	FN645444	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002062	38462	904	340	CMY-51	CMY-51	AFK73431.1	JQ733571	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002064	38464	958	1236	CMY-53	CMY-53	ADQ38362.1	HQ336940	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002065	38465	1036	680	CMY-54	CMY-54	ADK55604.1	HM544039	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002066	38466	1116	88	CMY-55	CMY-55	ADK55605.1	HM544040	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002067	38467	1196	95	CMY-56	CMY-56	ADT91162.1	HQ322613	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002068	38468	1283	1704	CMY-57	CMY-57	ADP37961.1	HQ285243	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002072	38472	1362	854	CMY-58	CMY-58	ADY19254.1	HQ185697	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002069	38469	1443	1840	CMY-59	CMY-59	BAJ17544.1	AB587082	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002017	38417	1548	1409	CMY-6	CMY-6	CAB36902.1	AJ011293	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002073	38473	1625	288	CMY-60	CMY-60	AEM97672.1	JF460794	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002074	38474	1701	864	CMY-61	CMY-61	AEM97673.1	JF460795	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002075	38475	1777	1407	CMY-62	CMY-62	AEM97674.1	JF460796	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002076	38476	1859	1147	CMY-63	CMY-63	AET07387.1	HQ650104	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002077	38477	1915	1591	CMY-64	CMY-64	ADW84690.1	HQ832678	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002078	38478	1994	261	CMY-65	CMY-65	AEI52842.1	JF780936	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002079	38479	783	695	CMY-66	CMY-66	AEZ49849.1	JN714478	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002080	38480	864	1864	CMY-67	CMY-67	AFK08541.1	JQ711185	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002081	38481	945	1668	CMY-68	CMY-68	AEZ49855.1	JN714480	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002082	38482	1022	963	CMY-69	CMY-69	AGE45504.1	JX049132	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002018	38418	1100	1988	CMY-7	CMY-7	CAB36900.1	AJ011291	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002083	38483	1180	64	CMY-70	CMY-70	AFU25635.1	JX440350	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002084	38484	1267	550	CMY-71	CMY-71	AFK08538.1	JQ711184	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002085	38485	1346	1247	CMY-72	CMY-72	AFU25641.1	JX440352	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002086	38486	1423	1585	CMY-73	CMY-73	ACU00152.1	GQ351345	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002087	38487	1509	889	CMY-74	CMY-74	AFU25632.1	JX440349	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002088	38488	1587	683	CMY-75	CMY-75	AFK73434.1	JQ733572	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002089	38489	1664	2018	CMY-76	CMY-76	AFK73437.1	JQ733573	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002090	38490	1739	996	CMY-77	CMY-77	AFU25644.1	JX440353	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002091	38491	1817	1634	CMY-78	CMY-78	AFK73443.1	JQ733575	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002092	38492	1897	94	CMY-79	CMY-79	AFK73446.1	JQ733576	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002019	38419	1976	269	CMY-8	CMY-8	AAD50818.2	AF167990	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002093	38493	762	757	CMY-80	CMY-80	AFK73449.1	JQ733577	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002094	38494	823	1178	CMY-81	CMY-81	AFK73452.1	JQ733578	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002095	38495	905	1990	CMY-82	CMY-82	AHL39324.1	KJ207203	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002096	38496	959	364	CMY-83	CMY-83	AFU25638.1	JX440351	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002097	38497	1037	2027	CMY-84	CMY-84	AFK73455.1	JQ733579	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002098	38498	1117	283	CMY-85	CMY-85	AHL39322.1	KJ207202	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002099	38499	1197	1140	CMY-86	CMY-86	AHL39327.1	KJ207204	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002100	38500	1284	1829	CMY-87	CMY-87	BAL63057.1	AB699171	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002020	38420	1363	136	CMY-9	CMY-9	BAB72158.1	AB061794	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002103	38503	1444	894	CMY-90	CMY-90	CCK86743.1	HE819404	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002106	38506	1549	1756	CMY-93	CMY-93	AHM76768.1	KF992025	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002107	38507	1626	1163	CMY-94	CMY-94	AGC54798.1	JX514368	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002108	38508	1702	301	CMY-95	CMY-95	AGC54799.1	JX514369	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002111	38511	1778	297	CMY-98	CMY-98	AGH70380.1	KC603538	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002070	38470	1860	1593	CMY-99	CMY-99	AGU59995.1	KF305673	CMY beta-lactamase	cephamycin	antibiotic inactivation
ARO:3004639	42633	5448	3337	Corynebacterium striatum tetA	Corynebacterium striatum tetA	NP_862226.1	NC_004939.1	major facilitator superfamily (MFS) antibiotic efflux pump	penam;tetracycline antibiotic	antibiotic efflux
ARO:3003994	40876	3865	2529	cpaA	cpaA	APB03224.1	KX531054.1	cpa acetyltransferase	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003099	39665	3364	1428	cphA2	cphA2	AAB03413.1	U60294	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003093	39646	820	1687	CEPH-A3	cphA3	AAM63403.1	AY112998	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003100	39666	1409	803	cphA4	cphA4	AAP69912.1	AY227050	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003101	39667	1501	1605	cphA5	cphA5	AAP69913.1	AY227051	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003102	39668	1579	1949	cphA6	cphA6	AAP69914.1	AY227052	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003103	39669	6071	143	cphA7	cphA7	AAP69915.1	AY227053.1	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3003104	39670	1731	1498	cphA8	cphA8	AAP97129.1	AY261375	CphA beta-lactamase	carbapenem	antibiotic inactivation
ARO:3005063	43267	6098	3803	cprR	cprR	AAG06465.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic efflux;antibiotic target alteration
ARO:3005064	43268	6099	3804	cprS	cprS	AAG06466.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic efflux;antibiotic target alteration
ARO:3003716	40370	3431	2231	CPS-1	CPS-1	AJP77054	KP109675	CPS beta-lactamase	carbapenem	antibiotic inactivation
ARO:3000830	37210	5407	152	cpxA	cpxA	BAB38260.1	BA000007.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux
ARO:3005049	43249	6087	3792	CrcB	CrcB	CCN31428.1	HF536482.1	multidrug and toxic compound extrusion (MATE) transporter	N/A	antibiotic efflux
ARO:3000518	36657	4752	869	CRP	CRP	BAE77933.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
ARO:3004468	41686	5409	2903	CrpP	CrpP	AEQ93536.1	HM560971.1	ciprofloxacin phosphotransferase	fluoroquinolone antibiotic	antibiotic inactivation
ARO:3001864	38264	1916	420	CTX-M-1	CTX-M-1	CAA63262.1	X92506	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001873	38273	1995	1946	CTX-M-10	CTX-M-10	AAT68658.1	AY598759	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001959	38359	784	717	CTX-M-100	CTX-M-100	CBW46935.1	FR682582	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001960	38360	865	307	CTX-M-101	CTX-M-101	ADY02545.1	HQ398214	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001961	38361	946	838	CTX-M-102	CTX-M-102	ADY02546.1	HQ398215	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001962	38362	1026	1440	CTX-M-103	CTX-M-103	CDG50843.1	HG423149	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001963	38363	1104	2022	CTX-M-104	CTX-M-104	ADY02555.1	HQ833652	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001965	38365	1184	1182	CTX-M-105	CTX-M-105	ADY02554.1	HQ833651	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001966	38366	1271	1774	CTX-M-106	CTX-M-106	ADZ31262.1	HQ913565	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001967	38367	5885	279	CTX-M-107	CTX-M-107	AEM44650.1	JF274244.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001968	38368	5865	847	CTX-M-108	CTX-M-108	AEM44651.1	JF274245	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001969	38369	5883	1292	CTX-M-109	CTX-M-109	AEM44654.1	JF274248.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001874	38274	1588	280	CTX-M-11	CTX-M-11	AAF93177.1	AY005110	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001970	38370	1665	1287	CTX-M-110	CTX-M-110	AEM44648.1	JF274242	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001971	38371	1740	1884	CTX-M-111	CTX-M-111	AEM44649.1	JF274243	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001972	38372	1818	130	CTX-M-112	CTX-M-112	AEM44652.1	JF274246	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001973	38373	1901	939	CTX-M-113	CTX-M-113	AEM44653.1	JF274247	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001974	38374	1980	1057	CTX-M-114	CTX-M-114	ACU00153.1	GQ351346	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001975	38375	766	1769	CTX-M-115	CTX-M-115	AIL54055.1	KJ911020	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001976	38376	824	1867	CTX-M-116	CTX-M-116	AEI70324.1	JF966749	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001977	38377	906	551	CTX-M-117	CTX-M-117	AET99223.1	JN227085	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001875	38275	1008	1779	CTX-M-12	CTX-M-12	AAG34108.1	AF305837	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001980	38380	1085	25	CTX-M-121	CTX-M-121	AFA51699.1	JN790862	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001981	38381	1167	591	CTX-M-122	CTX-M-122	AFA51700.1	JN790863	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001982	38382	1254	689	CTX-M-123	CTX-M-123	AFA51701.1	JN790864	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001983	38383	1333	1145	CTX-M-124	CTX-M-124	AFH88134.1	JQ429324	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001984	38384	1410	282	CTX-M-125	CTX-M-125	AFO69261.1	JQ724542	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001985	38385	1476	246	CTX-M-126	CTX-M-126	BAL72196.1	AB703103	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001988	38388	1550	2010	CTX-M-129	CTX-M-129	AFJ59956.1	JX017364	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001876	38276	1627	1457	CTX-M-13	CTX-M-13	AAF72531.1	AF252623	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001989	38389	1703	7	CTX-M-130	CTX-M-130	AFJ59957.1	JX017365	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001990	38390	4241	896	CTX-M-131	CTX-M-131	AEW46676.3	JN969893.3	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001991	38391	1861	1357	CTX-M-132	CTX-M-132	AFQ94051.1	JX313020	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001992	38392	1964	1815	CTX-M-134	CTX-M-134	AFX60298.1	JX896165	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001995	38395	2042	1910	CTX-M-136	CTX-M-136	AGG08693.1	KC351754	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001994	38394	785	671	CTX-M-137	CTX-M-137	BAO37256.1	AB900900	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001997	38397	866	908	CTX-M-139	CTX-M-139	AFY98865.1	KC107824	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001877	38277	947	841	CTX-M-14	CTX-M-14	AAF72530.1	AF252622	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001999	38399	1027	1064	CTX-M-141	CTX-M-141	AGN11769.1	KC964871	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002000	38400	1105	878	CTX-M-142	CTX-M-142	AGW25368.1	KF240809	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002002	38402	1185	1768	CTX-M-144	CTX-M-144	AHX39588.1	KJ020573	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002005	38405	1272	380	CTX-M-147	CTX-M-147	AHA80961.1	KF513180	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002006	38406	1351	1944	CTX-M-148	CTX-M-148	AHX39589.1	KJ020574	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001878	38278	1430	2035	CTX-M-15	CTX-M-15	AAL02127.1	AY044436	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002008	38408	1511	362	CTX-M-151	CTX-M-151	BAP34782.1	AB916359	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002009	38409	1589	1616	CTX-M-152	CTX-M-152	AHY20039.1	KJ461948	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003163	39740	1666	31	CTX-M-155	CTX-M-155	AIS67611.1	KM211508	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003164	39741	1741	1620	CTX-M-156	CTX-M-156	AIS67612.1	KM211509	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003165	39742	1819	1251	CTX-M-157	CTX-M-157	AIS67613.1	KM211510	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003166	39743	1902	817	CTX-M-158	CTX-M-158	AIT97310.1	KM211691	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003167	39744	6063	329	CTX-M-159	CTX-M-159	BAP18874.1	AB976602.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3001879	38279	767	1606	CTX-M-16	CTX-M-16	AAK32961.1	AY029068	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003168	39745	6064	1947	CTX-M-160	CTX-M-160	AJO16046.1	KP050493.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003169	39746	6065	3773	CTX-M-161	CTX-M-161	AJU57235.1	KP128034.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3003646	40256	6066	3774	CTX-M-162	CTX-M-162	AKO63213.1	KP681697.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
